name	 airfall
type	 panel
#subtype  noskip
facing   1
lifespan 110
setlayer	3000





anim	idle
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	sound     data/sounds/blink.wav
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	delay	30
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	delay	6
	frame	data/chars/misc/text/jonnyround3/fall04.gif
	sound	data/sounds/super2.wav
	frame	data/chars/misc/text/jonnyround3/fall05.gif
	frame	data/chars/misc/text/jonnyround3/fall06.gif
	frame	data/chars/misc/text/jonnyround3/fall07.gif
	frame	data/chars/misc/text/jonnyround3/fall08.gif
	frame	data/chars/misc/text/jonnyround3/fall09.gif
	frame	data/chars/misc/text/jonnyround3/fall10.gif
	frame	data/chars/misc/text/jonnyround3/fall11.gif
	frame	data/chars/misc/text/jonnyround3/fall12.gif
	frame	data/chars/misc/text/jonnyround3/fall13.gif
	frame	data/chars/misc/text/jonnyround3/fall14.gif
	frame	data/chars/misc/text/jonnyround3/fall15.gif

	frame	data/chars/misc/text/jonnyround3/fall16.gif
	frame	data/chars/misc/text/jonnyround3/fall17.gif
	frame	data/chars/misc/text/jonnyround3/fall18.gif
	frame	data/chars/misc/text/jonnyround3/fall19.gif
	frame	data/chars/misc/text/jonnyround3/fall20.gif
	frame	data/chars/misc/text/jonnyround3/fall21.gif
	frame	data/chars/misc/text/jonnyround3/fall22.gif
	frame	data/chars/misc/text/jonnyround3/fall23.gif
	delay	30
	frame	data/chars/misc/text/jonnyround3/fall23.gif
	delay	900
	frame	data/chars/misc/text/jonnyround3/fall24.gif
	delay	5
	frame	data/chars/misc/text/jonnyround3/fall25.gif
