name		Beniplr
type		player
health          150
mp		100
mprate          1
chargerate      2
speed		11
running		26 3.1 3 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		Ryobike beniplr Ryobike2 Ryofall ryowtr ryovent mapcurs mrzero ryoturt
atchain         1 1 2 3 4 0 5 6 7 0 8
combostyle      1
icon		data/chars/xbeni/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xbeni/map.png
alternatepal	data/chars/xbeni/map.png
alternatepal	data/chars/xbeni/map1.png
alternatepal	data/chars/xbeni/map2.png
alternatepal	data/chars/xbeni/map3.png
alternatepal	data/chars/xbeni/map4.png

load	xleonapw

com	a3	  freespecial29
com	d f a	  freespecial9
com	d f j	  freespecial8
com	a2 	  freespecial15
com	d f s	  freespecial3
com	f d f a freespecial26
com	f d f s freespecial27
























anim	attack1
	range	0 140
	rangez	-15 15
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat1.wav
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xbeni/a01.png
	delay	5
	attack	140 120 90 30 6 0 0 0 1 0
	frame	data/chars/xbeni/a02.png
	delay	3
	frame	data/chars/xbeni/a03.png
	attack	0 0 0 0
	frame	data/chars/xbeni/a04.png
	frame	data/chars/xbeni/a05.png
		
anim	attack2
	range	0 60
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/xbeni/a30.png
	sound	data/sounds/xbeni02.wav
	frame	data/chars/xbeni/a31.png
	delay	5
	attack2	135 125 70 40 20 0 0 0 9 0
	frame	data/chars/xbeni/a32.png
	delay	6
	frame	data/chars/xbeni/a33.png
	attack2	0 0 0 0
	frame	data/chars/xbeni/a34.png
	frame	data/chars/xbeni/a35.png
		
anim	attack3
	range	0 60
	rangez	-15 15
	loop	0
	delay	4
	offset	130 212
	bbox	127 119 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/xbeni/a20.png
	sound	data/sounds/xbeni03.wav
	frame	data/chars/xbeni/a21.png
	bbox	146 117 24 83
	frame	data/chars/xbeni/a22.png
	attack	135 115 70 40 20 0 0 0 9 0
	frame	data/chars/xbeni/a23.png
	attack	0 0 0 0
	frame	data/chars/xbeni/a22.png
	bbox	130 119 34 83
	frame	data/chars/xbeni/a21.png
	frame	data/chars/xbeni/a20.png
		
anim	attack4
	range	0 60
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xbeni/b35.png
	bbox	123 155 36 57
	sound	data/sounds/xbeni04.wav
	frame	data/chars/xbeni/b36.png
	bbox	123 174 43 36
	frame	data/chars/xbeni/b37.png
	frame	data/chars/xbeni/b38.png
	attack10	135 65 90 110 40 1 0 0 35 15
	dropv	5 1
	frame	data/chars/xbeni/b39.png
	delay	12
	frame	data/chars/xbeni/b39a.png
	attack10	0 0 0 0
	delay	7
	frame	data/chars/xbeni/b39b.png
	frame	data/chars/xbeni/b40.png
	frame	data/chars/xbeni/b37.png
	frame	data/chars/xbeni/b36.png
	frame	data/chars/xbeni/rise03.png
	bbox	131 141 32 63
	frame	data/chars/xbeni/rise04.png
		
anim	attack5
	range	60 85
	rangez	-15 15
	loop	0
	delay	4
	offset	130 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xbeni/b05.png
	sound	data/sounds/xbeni02.wav
	frame	data/chars/xbeni/b06.png
	attack	135 118 85 40 20 0 0 0 9 0
	frame	data/chars/xbeni/b07.png
	delay	5
	frame	data/chars/xbeni/b08.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b06.png
	frame	data/chars/xbeni/b09.png
		
anim	attack6
	range	60 85
	rangez	-15 15
	loop	0
	delay	4
