name		ralfplr
type		player
health		150
mp		100
mprate          1
chargerate      2
speed		11
running		26 3.1 3 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		Robcar kgnrob Robcar2 robfall Robwtr Robvent mapcurs mrzero
atchain         1 1 2 3 4 0 5 6 7 0 8
combostyle      1
icon		data/chars/xralf/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xralf/idle01.png
alternatepal		data/chars/xralf/idle01.png
alternatepal	data/chars/xralf/map1.png
alternatepal	data/chars/xralf/map2.png
alternatepal	data/chars/xralf/map3.png
alternatepal	data/chars/xralf/map4.png



load	terrpw
load	dust4
load	xkyopw

com	a3	  freespecial29
com	a2 	  freespecial15

com	d f a	  freespecial3
com	d f s   freespecial4
com	d f j 	  freespecial9

com	f d f a freespecial26
com	f d f s freespecial27





















anim	attack1
	range	0 140
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xralf/a01.png
	attack	143 115 83 25 6 0 0 0 1 0
	frame	data/chars/xralf/a02.png
	frame	data/chars/xralf/a03.png
	delay	5
	attack	0 0 0 0
	frame	data/chars/xralf/a04.png
		
anim	attack2
	range	0 50
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xralf/a05.png
	frame	data/chars/xralf/a06.png
	attack	135 118 55 26 20 0 0 0 15 0
	frame	data/chars/xralf/a07.png
	delay	5
	frame	data/chars/xralf/a08.png
	attack	0 0 0 0
	frame	data/chars/xralf/a09.png
	frame	data/chars/xralf/a10.png
		
anim	attack3
	range	0 50
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/xralf05.wav
	frame	data/chars/xralf/a20.png
	frame	data/chars/xralf/a21.png
	attack2	140 135 70 30 30 0 0 0 15 0
	frame	data/chars/xralf/a22.png
	frame	data/chars/xralf/a23.png
	attack2	0 0 0 0
	frame	data/chars/xralf/a24.png
	frame	data/chars/xralf/a25.png
		
anim	attack4
	range	0 50
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xralf06.wav
	frame	data/chars/xralf/a29.png
	frame	data/chars/xralf/a30.png
	attack10	143 85 60 70 40 1 0 0 40 15
	dropv	5.5 1.2 0
	@cmd	dasher 1 0 0
	frame	data/chars/xralf/a31.png
	delay	15
	frame	data/chars/xralf/a32.png
	attack10	0 0 0 0
	delay	8
	frame	data/chars/xralf/a33.png
	frame	data/chars/xralf/a34.png
	@cmd	stop
	frame	data/chars/xralf/a35.png
		
anim	attack5
	range	50 85
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xralf/a40.png
	frame	data/chars/xralf/a41.png
	attack	143 115 80 30 20 0 0 0 15 0
	frame	data/chars/xralf/a42.png
	frame	data/chars/xralf/a43.png
	attack	0 0 0 0
	frame	data/chars/xralf/a44.png
		
anim	attack6
	range	50 85
	rangez	-15 15
	loop	0
	delay	7
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xralf05.wav
	frame	data/chars/xralf/a50.png
	frame	data/chars/xralf/a51.png
	frame	data/chars/xralf/a52.png
	attack	143 115 75 30 30 0 0 0 15 0
	frame	data/chars/xralf/a53.png
	attack	0 0 0 0
	frame	data/chars/xralf/a54.png
		
anim	attack7
	range	50 85
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
