name	wait
type	none
gfxshadow 1



alternatepal	data/chars/misc/runpeople/wait/wait11.gif
alternatepal	data/chars/misc/runpeople/wait/wait12.gif
alternatepal	data/chars/misc/runpeople/wait/wait13.gif



anim idle
	 loop      1
	 delay     400
	 offset    45 121
	 flipframe 34
         move      0
	 frame     data/chars/misc/runpeople/wait/wait01.gif
	 delay     14
	 frame     data/chars/misc/runpeople/wait/wait02.gif
	 delay     9
         move      -6
	 frame     data/chars/misc/runpeople/wait/wait03.gif
	 frame     data/chars/misc/runpeople/wait/wait04.gif
	 frame     data/chars/misc/runpeople/wait/wait05.gif
	 frame     data/chars/misc/runpeople/wait/wait06.gif
	 frame     data/chars/misc/runpeople/wait/wait07.gif
	 frame     data/chars/misc/runpeople/wait/wait08.gif
	 frame     data/chars/misc/runpeople/wait/wait09.gif
	 frame     data/chars/misc/runpeople/wait/wait10.gif
	 frame     data/chars/misc/runpeople/wait/wait03.gif
	 frame     data/chars/misc/runpeople/wait/wait04.gif
	 frame     data/chars/misc/runpeople/wait/wait05.gif
	 frame     data/chars/misc/runpeople/wait/wait06.gif
	 frame     data/chars/misc/runpeople/wait/wait07.gif
	 frame     data/chars/misc/runpeople/wait/wait08.gif
	 frame     data/chars/misc/runpeople/wait/wait09.gif
	 frame     data/chars/misc/runpeople/wait/wait10.gif
	 frame     data/chars/misc/runpeople/wait/wait03.gif
	 frame     data/chars/misc/runpeople/wait/wait04.gif
	 frame     data/chars/misc/runpeople/wait/wait05.gif
	 frame     data/chars/misc/runpeople/wait/wait06.gif
	 frame     data/chars/misc/runpeople/wait/wait07.gif
	 frame     data/chars/misc/runpeople/wait/wait08.gif
	 frame     data/chars/misc/runpeople/wait/wait09.gif
	 frame     data/chars/misc/runpeople/wait/wait10.gif
	 frame     data/chars/misc/runpeople/wait/wait03.gif
	 frame     data/chars/misc/runpeople/wait/wait04.gif
	 frame     data/chars/misc/runpeople/wait/wait05.gif
	 frame     data/chars/misc/runpeople/wait/wait06.gif
	 frame     data/chars/misc/runpeople/wait/wait07.gif
	 frame     data/chars/misc/runpeople/wait/wait08.gif
	 frame     data/chars/misc/runpeople/wait/wait09.gif
	 frame     data/chars/misc/runpeople/wait/wait10.gif
	 delay     14
         move      0
	 frame     data/chars/misc/runpeople/wait/wait02.gif

