name          bigbear
type          enemy
subtype	      chase
health        300
speedf         1.8
jumpheight    4
throw         5 2
throwdamage   18
shadow        0
cantgrab      1
notgrab	      1
nolife        1
gfxshadow     1
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/bear2.wav
animationscript data/scripts/escript.c


alternatepal       data/chars/2bug2/map1.gif










anim	attack1
	range	10 78
	loop	0
	delay	12
	offset	160 275
	bbox	120 185 85 91
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/bear3.wav
	frame	data/chars/2bug2/b01.gif
	frame	data/chars/2bug2/b02.gif
	attack	155 180 75 40 15 1 0 0 13 0
	dropv	5 2 0
	frame	data/chars/2bug2/b03.gif
	frame	data/chars/2bug2/b04.gif
	attack	0 0 0 0
	frame	data/chars/2bug2/b01.gif
	frame	data/chars/2bug2/b02.gif
		
anim	attack2
	range	81 130
	loop	0
	delay	6
	offset	160 275
	bbox	120 185 85 91
	move	6
	hitfx	data/sounds/beat3.wav
	frame	data/chars/2bug2/a01.gif
	sound	data/sounds/bear3.wav
	frame	data/chars/2bug2/a02.gif
	delay	10
	attack	145 160 105 70 15 1 0 0 13 0
	dropv	5 3 0
	frame	data/chars/2bug2/a03.gif
	delay	8
	frame	data/chars/2bug2/a04.gif
	frame	data/chars/2bug2/a03.gif
	attack	0 0 0 0 0
	move	0
	frame	data/chars/2bug2/a02.gif
	frame	data/chars/2bug2/a01.gif
		
anim	attack3
	range	175 230
	loop	0
	delay	20
	offset	160 275
	bbox	120 185 85 91
	jumpframe	1 5 2 0
	landframe	6
	hitfx	data/sounds/beat1.wav
	sound	data/sounds/bear1.wav
	frame	data/chars/2bug2/c06.gif
	delay	12
	frame	data/chars/2bug2/c01.gif
	frame	data/chars/2bug2/c02.gif
	frame	data/chars/2bug2/c03.gif
	frame	data/chars/2bug2/c04.gif
	delay	100
	bbox	150 185 65 90
	attack	115 195 79 60 20 1 0 1 30 0
	dropv	4 3 0
	frame	data/chars/2bug2/c05.gif
	delay	14
	frame	data/chars/2bug2/c06.gif
	frame	data/chars/2bug2/c07.gif
	frame	data/chars/2bug2/c08.gif
	frame	data/chars/2bug2/c09.gif
	sound	data/sounds/burnt.wav
	attack	0 0 0 0
	delay	12
	frame	data/chars/2bug2/c08.gif
	frame	data/chars/2bug2/c09.gif
	frame	data/chars/2bug2/c08.gif
	frame	data/chars/2bug2/c09.gif
	frame	data/chars/2bug2/c08.gif
	frame	data/chars/2bug2/c09.gif
		
anim	burn
	loop	0
	delay	30
	offset	160 275
	bbox	0 0 0 0
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	105 125 80 100 5 1 0 0 13 0
	frame	data/chars/2bug2/fall1.gif
	delay	10
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/2bug2/fall2.gif
	attack	0 0 0 0
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall4.gif
		
anim	fall
	loop	0
	delay	30
	offset	160 275
	bbox	78 97 50 68
	attack	81 95 40 70 5 1 0 0 13 30
	frame	data/chars/2bug2/fall1.gif
	delay	10
	bbox	51 113 86 50
	attack	49 115 91 45 5 1 0 0 13 30
	frame	data/chars/2bug2/fall2.gif
	bbox	62 131 85 40
	attack	61 127 91 45 5 1 0 0 13 30
	frame	data/chars/2bug2/fall3.gif
	attack	0 0 0 0
	bbox	56 175 90 15
	frame	data/chars/2bug2/fall4.gif
		
anim	fall10
	loop	0
	delay	50
	offset	160 275
	bbox	82 116 59 91
	landframe	3
	attack	75 98 40 60 5 1 0 0 13 30
	frame	data/chars/2bug2/pain3.gif
	delay	30
	bbox	51 113 86 50
	attack	49 115 91 45 5 1 0 0 13 30
	frame	data/chars/2bug2/fall2.gif
	delay	1000
	bbox	62 131 85 40
	attack	61 127 91 45 5 1 0 0 13 30
	frame	data/chars/2bug2/fall3.gif
	attack	0 0 0 0
	bbox	0 0 0 0
	frame	data/chars/2bug2/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	160 275
	bbox	82 116 59 91
	attack	84 125 80 80 5 1 0 0 13 0
	frame	data/chars/2bug2/pain3.gif
	delay	10
	attack	90 140 95 80 5 1 0 0 13 0
	frame	data/chars/2bug2/fall2.gif
	attack	0 0 0 0
	bbox	0 0 0 0
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall4.gif
		
anim	fall7
	delay	1000
	offset	160 275
	frame	data/chars/2bug2/fall1.gif
	offset	160 275
	frame	data/chars/2bug2/fall2.gif
	offset	160 275
	frame	data/chars/2bug2/fall3.gif
	offset	160 275
	frame	data/chars/2bug2/fall4.gif
	offset	160 275
	frame	data/chars/2bug2/fall1.gif
	offset	160 275
	frame	data/chars/2bug2/fall2.gif
	offset	160 275
	frame	data/chars/2bug2/fall3.gif
	offset	160 275
	frame	data/chars/2bug2/fall4.gif
	offset	160 275
	frame	data/chars/2bug2/fall1.gif
	offset	160 275
	frame	data/chars/2bug2/fall2.gif
		
anim	fall9
	loop	0
	delay	10
	offset	160 275
	bbox	82 116 59 91
	attack	81 95 40 70 5 1 0 0 13 30
	frame	data/chars/2bug2/fall1.gif
	delay	37
	bbox	62 131 85 40
	attack	61 127 91 45 5 1 0 0 13 30
	frame	data/chars/2bug2/fall3.gif
	delay	8
	frame	data/chars/2bug2/fall3.gif
	attack	0 0 0 0
	bbox	0 0 0 0
