name	elevlg
type	panel
alpha	2
facing	1
subject_to_gravity 0
setlayer	6500


anim	idle
	loop	1
	offset	1 1
	delay	12
	frame	data/bgs/10lvl/elelight.gif
	frame	data/bgs/10lvl/empty.gif
	frame	data/bgs/10lvl/elelight.gif
	frame	data/bgs/10lvl/empty.gif
	frame	data/bgs/10lvl/elelight.gif
	frame	data/bgs/10lvl/empty.gif
	frame	data/bgs/10lvl/empty.gif
	frame	data/bgs/10lvl/elelight.gif
	frame	data/bgs/10lvl/empty.gif
	frame	data/bgs/10lvl/elelight.gif
	frame	data/bgs/10lvl/empty.gif
	delay	250
	frame	data/bgs/10lvl/empty.gif


anim	spawn
	loop	0
	offset	1 1
	delay	150
	frame	data/bgs/10lvl/empty.gif


