name          sylo2
type          enemy
health        200
speed         19
jumpheight    4
height		90
throw         5 2
throwdamage   18
shadow        0
noquake       1
falldie	      2
blockodds     1
nodieblink    1
gfxshadow     1
offscreenkill 	10000
dust            dust
candamage     player npc
hostile       player npc
projectilehit enemy obstacle
diesound      data/sounds/alien7.wav
icon		data/chars/beyond/1alien6/icon.gif
icondie		data/chars/beyond/1alien6/icond.gif
animationscript data/scripts/escript.c

load	syarm


alternatepal	data/chars/beyond/1alien6/map1.gif
alternatepal	data/chars/beyond/1alien6/map2.gif
alternatepal	data/chars/beyond/1alien6/map3.gif
alternatepal	data/chars/beyond/1alien6/map4.gif
alternatepal	data/chars/beyond/1alien6/map5.gif
alternatepal	data/chars/beyond/1alien6/map6.gif
alternatepal	data/chars/beyond/1alien6/map7.gif
alternatepal	data/chars/beyond/1alien6/map8.gif
alternatepal	data/chars/beyond/1alien6/mapf.gif















anim	attack1
	range	40 110
	loop	0
	delay	8
	offset	100 189
	bbox	90 120 50 75
	followanim	1
	followcond	1
	fastattack	1
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien6/ab10.gif
	offset	70 189
	attack	102 123 85 35 8 0 0 0 25 0
	frame	data/chars/beyond/1alien6/ab11.gif
	frame	data/chars/beyond/1alien6/ab12.gif
	frame	data/chars/beyond/1alien6/ab13.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/ab14.gif
	frame	data/chars/beyond/1alien6/ab15.gif
		
anim	attack2
	range	190 260
	rangez	-10 10
	loop	0
	delay	9
	offset	100 189
	bbox	90 120 50 75
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/ca01.gif
	frame	data/chars/beyond/1alien6/ca02.gif
	frame	data/chars/beyond/1alien6/ca11.gif
	bbox	75 142 64 47
	frame	data/chars/beyond/1alien6/ca12.gif
	frame	data/chars/beyond/1alien6/i12.gif
	@cmd	spawnAnimap "syarm" 220 0 1 "ANI_FOLLOW2"
	delay	120
	frame	data/chars/beyond/1alien6/i11.gif
	delay	11
	frame	data/chars/beyond/1alien6/i12.gif
	bbox	90 120 50 75
	frame	data/chars/beyond/1alien6/ca12.gif
	frame	data/chars/beyond/1alien6/ca11.gif
	frame	data/chars/beyond/1alien6/ca02.gif
	frame	data/chars/beyond/1alien6/ca01.gif
		
anim	attack4
	range	70 155
	rangez	-85 -30
	loop	0
	delay	7
	offset	100 189
	bbox	79 70 40 65
	jumpframe	0 4 1.5 -0.7
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/ju01.gif
	frame	data/chars/beyond/1alien6/ju02.gif
	frame	data/chars/beyond/1alien6/ju03.gif
	frame	data/chars/beyond/1alien6/ju04.gif
	frame	data/chars/beyond/1alien6/ju05.gif
	frame	data/chars/beyond/1alien6/ju06.gif
	offset	80 189
	attack	105 90 90 65 11 1 0 0 30 15
	frame	data/chars/beyond/1alien6/ju07.gif
	frame	data/chars/beyond/1alien6/ju08.gif
	frame	data/chars/beyond/1alien6/ju09.gif
	frame	data/chars/beyond/1alien6/ju10.gif
	frame	data/chars/beyond/1alien6/ju11.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/ju12.gif
	frame	data/chars/beyond/1alien6/ju13.gif
	frame	data/chars/beyond/1alien6/ju14.gif
		
anim	attack5
	range	70 155
	rangez	30 85
	loop	0
	delay	7
	offset	100 189
	bbox	90 90 40 50
	jumpframe	0 4 1.5 0.7
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/ju01.gif
	frame	data/chars/beyond/1alien6/ju02.gif
	frame	data/chars/beyond/1alien6/ju03.gif
	frame	data/chars/beyond/1alien6/ju04.gif
	frame	data/chars/beyond/1alien6/ju05.gif
	frame	data/chars/beyond/1alien6/ju06.gif
	offset	80 189
	attack	105 90 90 65 11 1 0 0 30 15
	frame	data/chars/beyond/1alien6/ju07.gif
	frame	data/chars/beyond/1alien6/ju08.gif
	frame	data/chars/beyond/1alien6/ju09.gif
	frame	data/chars/beyond/1alien6/ju10.gif
	frame	data/chars/beyond/1alien6/ju11.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/ju12.gif
	frame	data/chars/beyond/1alien6/ju13.gif
	frame	data/chars/beyond/1alien6/ju14.gif
		
anim	backwalk
	loop	1
	delay	9
	offset	100 189
	bbox	80 120 50 75
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/wk35.gif
	frame	data/chars/beyond/1alien6/wk36.gif
	frame	data/chars/beyond/1alien6/wk37.gif
	frame	data/chars/beyond/1alien6/wk38.gif
		
anim	block
	loop	0
	delay	2
	offset	100 189
	bbox	90 120 50 75
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	move	-8
	frame	data/chars/beyond/1alien6/blk05.gif
	frame	data/chars/beyond/1alien6/blk05.gif
	frame	data/chars/beyond/1alien6/blk06.gif
	frame	data/chars/beyond/1alien6/blk06.gif
	frame	data/chars/beyond/1alien6/blk06.gif
	move	0
	delay	20
	frame	data/chars/beyond/1alien6/blk07.gif
		
anim	burn
	loop	0
	delay	25
	offset	100 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 7 0 0 0 0 -1
	landframe	3
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	75 103 29 43 5 1 0 0 13 40
	frame	data/chars/beyond/1alien6/fall10.gif
	delay	15
	attack	64 134 40 22 5 1 0 0 13 40
	frame	data/chars/beyond/1alien6/fall11.gif
	delay	500
	frame	data/chars/beyond/1alien6/fall12.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	20
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	death
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien6/rise1.gif
	frame	data/chars/beyond/1alien6/rise2.gif
	frame	data/chars/beyond/1alien6/rise3.gif
	frame	data/chars/beyond/1alien6/rise4.gif
	frame	data/chars/beyond/1alien6/rise5.gif
	frame	data/chars/beyond/1alien6/grabbed2.gif
	frame	data/chars/beyond/1alien6/grabbed.gif
	delay	35
	frame	data/chars/beyond/1alien6/det02.gif
	delay	10
	frame	data/chars/beyond/1alien6/det03.gif
	frame	data/chars/beyond/1alien6/det04.gif
	frame	data/chars/beyond/1alien6/det05.gif
	frame	data/chars/beyond/1alien6/det06.gif
	frame	data/chars/beyond/1alien6/det07.gif
	frame	data/chars/beyond/1alien6/det08.gif
	frame	data/chars/beyond/1alien6/det09.gif
	frame	data/chars/beyond/1alien6/det10.gif
	frame	data/chars/beyond/1alien6/det11.gif
	frame	data/chars/beyond/1alien6/det12.gif
	frame	data/chars/beyond/1alien6/det13.gif
	frame	data/chars/beyond/1alien6/det14.gif
	frame	data/chars/beyond/1alien6/det15.gif
	frame	data/chars/beyond/1alien6/det16.gif
	frame	data/chars/beyond/1alien6/det17.gif
	frame	data/chars/beyond/1alien6/det18.gif
	frame	data/chars/beyond/1alien6/det19.gif
	frame	data/chars/beyond/1alien6/det20.gif
	frame	data/chars/beyond/1alien6/det21.gif
	frame	data/chars/beyond/1alien6/det22.gif
	frame	data/chars/beyond/1alien6/det23.gif
	frame	data/chars/beyond/1alien6/det24.gif
	frame	data/chars/beyond/1alien6/det25.gif
	frame	data/chars/beyond/1alien6/det26.gif
	delay	50
	frame	data/chars/beyond/1alien6/det27.gif
		
anim	fall
	loop	0
	delay	25
	offset	100 189
	bbox	83 97 50 56
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	landframe	3
	attack	87 95 40 55 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall1.gif
	delay	15
	bbox	65 112 78 50
	attack	67 114 76 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall2.gif
	delay	500
	bbox	70 135 60 40
	attack	65 133 66 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall3.gif
	delay	20
	attack	0 0 0 0
	bbox	60 177 85 15
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	fall10
	loop	0
	delay	10
	offset	100 189
	bbox	87 83 50 91
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	landframe	4
	attack	88 98 40 60 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/pain6.gif
	delay	40
	frame	data/chars/beyond/1alien6/pain7.gif
	delay	30
	bbox	65 112 78 50
	attack	67 114 76 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall2.gif
	delay	1000
	bbox	70 135 60 40
	attack	65 133 66 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall3.gif
	delay	120
	attack	0 0 0 0
	bbox	60 177 85 15
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	fall11
	loop	0
	delay	20
	offset	100 189
	bbox	61 185 85 5
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/pain12.gif
	delay	35
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	102 189
	bbox	87 83 50 91
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	attack	78 104 28 44 5 1 0 0 13 40
	frame	data/chars/beyond/1alien6/pain6.gif
	delay	10
	bbox	65 112 78 50
	attack	64 134 40 22 5 1 0 0 13 40
	frame	data/chars/beyond/1alien6/fall11.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/fall12.gif
	bbox	58 175 85 15
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	fall4
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	jumpframe	0 1.2 1.5
	frame	data/chars/beyond/1alien6/pain8.gif
	frame	data/chars/beyond/1alien6/pain9.gif
	frame	data/chars/beyond/1alien6/pain10.gif
	@cmd	leaper 0 0.2 0
	frame	data/chars/beyond/1alien6/pain11.gif
	frame	data/chars/beyond/1alien6/fall4.gif
	frame	data/chars/beyond/1alien6/fall5.gif
	bbox	58 175 100 15
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	fall7
	drawmethod	200 200 0 0 0 0 -1
	delay	1000
	offset	105 130
	frame	data/chars/beyond/1alien6/slamck0.gif
	offset	100 110
	frame	data/chars/beyond/1alien6/slamck1.gif
	offset	106 130
	frame	data/chars/beyond/1alien6/slamck2.gif
	offset	115 125
	frame	data/chars/beyond/1alien6/slamck3.gif
	offset	125 125
	frame	data/chars/beyond/1alien6/slamck4.gif
	offset	108 122
	frame	data/chars/beyond/1alien6/slamck5.gif
	offset	106 155
	frame	data/chars/beyond/1alien6/slamck6.gif
	offset	125 140
	frame	data/chars/beyond/1alien6/slamck7.gif
	offset	120 105
	frame	data/chars/beyond/1alien6/slamck8.gif
	offset	100 130
	frame	data/chars/beyond/1alien6/slamck9.gif
	offset	105 130
	frame	data/chars/beyond/1alien6/slamck10.gif
	offset	105 130
	frame	data/chars/beyond/1alien6/slamck11.gif
	offset	115 125
	frame	data/chars/beyond/1alien6/slamck12.gif
	offset	115 125
	frame	data/chars/beyond/1alien6/slamck13.gif
	offset	115 125
	frame	data/chars/beyond/1alien6/slamck14.gif
	offset	115 125
	frame	data/chars/beyond/1alien6/slamck15.gif
		
anim	fall9
	loop	0
	delay	10
	offset	100 189
	bbox	83 97 50 56
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	quakeframe	2 5 5
	landframe	2 dust
	attack	87 95 40 55 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall1.gif
	delay	350
	bbox	65 112 78 50
	attack	67 114 76 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall2.gif
	delay	2
	move	-4
	bbox	70 135 60 40
	attack	65 133 66 45 5 1 0 0 13 30
	frame	data/chars/beyond/1alien6/fall3.gif
	frame	data/chars/beyond/1alien6/fall3.gif
	frame	data/chars/beyond/1alien6/fall3.gif
	@cmd	looper 3 5
	move	-3
	attack	0 0 0 0
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien6/fall4.gif
	frame	data/chars/beyond/1alien6/fall4.gif
	frame	data/chars/beyond/1alien6/fall4.gif
	@cmd	looper 6 4
	move	-2
	frame	data/chars/beyond/1alien6/fall5.gif
	frame	data/chars/beyond/1alien6/fall5.gif
	frame	data/chars/beyond/1alien6/fall5.gif
	@cmd	looper 9 4
	delay	15
	move	0
	bbox	60 177 85 15
	frame	data/chars/beyond/1alien6/fall4.gif
		
anim	follow1
	loop	0
	delay	7
	offset	70 189
	bbox	80 110 30 60
	drawmethod	200 200 0 0 0 0 -1
	fastattack	1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/beyond/1alien6/ab14.gif
	frame	data/chars/beyond/1alien6/ab15.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	90 189
	frame	data/chars/beyond/1alien6/ab01.gif
	frame	data/chars/beyond/1alien6/ab02.gif
	attack	100 92 80 30 9 0 0 0 15 0
	offset	70 189
	frame	data/chars/beyond/1alien6/ab03.gif
	frame	data/chars/beyond/1alien6/ab04.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/ab05.gif
	frame	data/chars/beyond/1alien6/ab06.gif
	frame	data/chars/beyond/1alien6/ab07.gif
	offset	90 189
	frame	data/chars/beyond/1alien6/ba01.gif
	frame	data/chars/beyond/1alien6/ba02.gif
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	frame	data/chars/beyond/1alien6/ba03.gif
	bbox	24 108 44 65
	attack	42 70 80 45 10 1 0 0 45 0
	dropv	3 3
	offset	10 189
	frame	data/chars/beyond/1alien6/ba04.gif
	attack	70 92 100 53 10 0 0 0 45 0
	dropv	3 3
	frame	data/chars/beyond/1alien6/ba05.gif
	offset	2 189
	frame	data/chars/beyond/1alien6/ba06.gif
	frame	data/chars/beyond/1alien6/ba07.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/ba08.gif
	bbox	124 112 46 54
	offset	105 189
	frame	data/chars/beyond/1alien6/ba09.gif
	frame	data/chars/beyond/1alien6/ba10.gif
	bbox	100 101 42 56
	frame	data/chars/beyond/1alien6/ba11.gif
	frame	data/chars/beyond/1alien6/ba12.gif
	frame	data/chars/beyond/1alien6/ba13.gif
	frame	data/chars/beyond/1alien6/ba14.gif
		
anim	follow15
	loop	0
	delay	740
	offset	100 189
	bbox	0 0 0 0
	jumpframe	2 2 0 1
	landframe	4 dust
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/d08.gif
	delay	12
	@cmd	degravity 0
	frame	data/chars/beyond/1alien6/i04.gif
	frame	data/chars/beyond/1alien6/ju14.gif
	delay	150
	frame	data/chars/beyond/1alien6/ju14.gif
	delay	12
	frame	data/chars/beyond/1alien6/i04.gif
	@cmd	beidle
	frame	data/chars/beyond/1alien6/i04.gif
		
anim	follow2
	loop	0
	delay	5
	offset	70 189
	bbox	0 0 0 0
	@cmd	degravity 0
	drawmethod	200 200 0 0 0 0 -1
	jumpframe	0 5.5 2.5
	landframe	22
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	frame	data/chars/beyond/1alien6/rise15.gif
	frame	data/chars/beyond/1alien6/rise16.gif
	frame	data/chars/beyond/1alien6/rise17.gif
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	frame	data/chars/beyond/1alien6/rise15.gif
	frame	data/chars/beyond/1alien6/rise16.gif
	frame	data/chars/beyond/1alien6/rise17.gif
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	delay	200
	frame	data/chars/beyond/1alien6/wk24.gif
	delay	9
	frame	data/chars/beyond/1alien6/wk24.gif
	frame	data/chars/beyond/1alien6/i02.gif
		
anim	grabbed
	loop	0
	delay	10
	offset	105 210
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/grabbed4.gif
		
anim	idle
	loop	1
	delay	7
	offset	100 189
	bbox	90 135 50 50
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/idle10.gif
	@cmd	clearL
	frame	data/chars/beyond/1alien6/idle11.gif
	frame	data/chars/beyond/1alien6/idle12.gif
	frame	data/chars/beyond/1alien6/idle13.gif
	frame	data/chars/beyond/1alien6/idle14.gif
	frame	data/chars/beyond/1alien6/idle15.gif
	frame	data/chars/beyond/1alien6/idle16.gif
		
anim	jump
	range	30 300
	loop	0
	delay	9
	offset	100 189
	bbox	90 135 50 50
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/rise5.gif
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	frame	data/chars/beyond/1alien6/rise15.gif
	frame	data/chars/beyond/1alien6/rise16.gif
	frame	data/chars/beyond/1alien6/rise17.gif
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	frame	data/chars/beyond/1alien6/rise15.gif
	frame	data/chars/beyond/1alien6/rise16.gif
	frame	data/chars/beyond/1alien6/rise17.gif
	frame	data/chars/beyond/1alien6/rise10.gif
	frame	data/chars/beyond/1alien6/rise11.gif
	frame	data/chars/beyond/1alien6/rise12.gif
	frame	data/chars/beyond/1alien6/rise13.gif
	frame	data/chars/beyond/1alien6/rise14.gif
	frame	data/chars/beyond/1alien6/rise15.gif
	frame	data/chars/beyond/1alien6/rise16.gif
	frame	data/chars/beyond/1alien6/rise17.gif
		
anim	jumpland
	loop	0
	delay	11
	offset	100 189
	bbox	90 135 50 50
	drawmethod	200 200 0 0 0 0 -1 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/i04.gif
	frame	data/chars/beyond/1alien6/i05.gif
		
anim	pain
	loop	0
	delay	3
	offset	103 189
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
