name    	byogem
score   	10000
type    	item
shadow		4
offscreenkill 	30000







anim	idle
	loop	1
	delay	10
	offset	25 33
	bbox	10 10 30 25
	frame	data/chars/misc/points/biogem01.gif
	frame	data/chars/misc/points/biogem02.gif
	frame	data/chars/misc/points/biogem03.gif
	frame	data/chars/misc/points/biogem04.gif
	delay	4
	frame	data/chars/misc/points/biogem05.gif
		
anim	spawn
	loop	0
	delay	10
	offset	25 33
	bbox	0 0 0 0
	jumpframe	0 3 0 0 0.5
	landframe	2
	frame	data/chars/misc/points/biogem01.gif
	delay	100
	frame	data/chars/misc/points/biogem01.gif
	delay	10
	frame	data/chars/misc/points/biogem01.gif
	frame	data/chars/misc/points/biogem01.gif
		
#|edited by openBor Stats v 0.53
		
