name	ssoul
type	item
subtype touch
score	15000
health	0
shadow	5
nolife  1
offscreenkill 	30000




anim	idle
	loop	1
	delay	12
	offset	50 77
	bbox	30 45 40 33 30
	frame	data/chars/misc/points/sl01.gif
	frame	data/chars/misc/points/sl02.gif
	frame	data/chars/misc/points/sl03.gif
	frame	data/chars/misc/points/sl04.gif
	frame	data/chars/misc/points/sl05.gif
	frame	data/chars/misc/points/sl06.gif
	frame	data/chars/misc/points/sl07.gif
	frame	data/chars/misc/points/sl08.gif
	frame	data/chars/misc/points/sl09.gif
		
anim	spawn
	loop	0
	delay	10
	offset	50 77
	bbox	30 45 40 33
	jumpframe	0 3 0 0 0.5
	landframe	2
	frame	data/chars/misc/points/sl01.gif
	delay	100
	frame	data/chars/misc/points/sl01.gif
	delay	10
	frame	data/chars/misc/points/sl01.gif
	frame	data/chars/misc/points/sl01.gif
		
#|edited by openBor Stats v 0.53
		
