name	5pearl
health	0
score	2400
type	item
nolife  1
offscreenkill 	30000
candamage player


anim	idle
	loop	1
	delay	60
	offset	30 42
	bbox	15 23 30 20
	frame	data/chars/misc/points/5pearl01.gif
	delay	4
	frame	data/chars/misc/points/5pearl02.gif
		
anim	spawn
	loop	0
	delay	4
	offset	30 42
	bbox	0 0 0 0
	jumpframe	1 3 0 0 1
	frame	data/chars/misc/points/5pearl01.gif
	frame	data/chars/misc/points/5pearl02.gif
	frame	data/chars/misc/points/5pearl01.gif
	frame	data/chars/misc/points/5pearl02.gif

		
#|edited by openBor Stats v 0.53
		
