name	winelev
type	npc
cantgrab	1
antigrab	500
nopain	1
health	100
nomove	1 1
facing	1
subject_to_wall    	0
subject_to_platform     0
subject_to_obstacle     0
setlayer -500

animationscript data/scripts/escript.c



load	roofbrk
load	glassbrk2
load	cardam2
load	MrBigg





anim	follow1
	loop	0
	delay	5
	offset	1 1
	bbox	0 0 0 0
	quakeframe 1 30 15
	sound	data/sounds/xplosion.wav
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	sound	data/sounds/bang.wav
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	sound	data/sounds/xplosion.wav
	@cmd	spawn01 "glassbrk2" 370 1 170
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	@cmd	spawn01 "glassbrk2" 350 1 180

	@cmd	spawnAni "MrBigg" 360 275 290 "ANI_FOLLOW14"


	frame	data/bgs/59lvl/bck/zwinelev01.gif
	@cmd	spawn01 "roofbrk" 280 1 70
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	@cmd	spawn01 "glassbrk2" 195 1 190
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	@cmd	spawn01 "glassbrk2" 535 1 190
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	@cmd	playmusic "data/music/bronko.ogg" 1
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	@cmd	spawn01 "roofbrk" 360 1 90
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	@cmd	spawn01 "roofbrk" 460 1 70
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/zwinelev01.gif
	frame	data/bgs/59lvl/bck/zwinelev02.gif
	frame	data/bgs/59lvl/bck/zwinelev03.gif
	frame	data/bgs/59lvl/bck/zwinelev04.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	@cmd	spawn01 "cardam2" 240 1 170
	frame	data/bgs/59lvl/bck/winelev07.gif
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	@cmd	spawn01 "cardam2" 450 1 170
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	@cmd	spawn01 "cardam2" 350 1 155
	frame	data/bgs/59lvl/bck/winelev07.gif
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	@cmd	spawn01 "cardam2" 250 1 150
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	@cmd	spawn01 "cardam2" 440 1 150
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	@cmd	changeopenborvariant "slowmotion" 0
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	frame	data/bgs/59lvl/bck/xwinelev05.gif
        @cmd    anichange "ANI_FOLLOW2"
	frame	data/bgs/59lvl/bck/winelev05.gif




anim	follow2
	loop	1
	delay	2
	offset	1 1
	bbox	0 0 0 0
	frame	data/bgs/59lvl/bck/winelev08.gif
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	sound	data/sounds/elevspark.wav	
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	offset	1 -2
	frame	data/bgs/59lvl/bck/xwinelev06.gif
	frame	data/bgs/59lvl/bck/winelev05.gif
	offset	1 -4
	frame	data/bgs/59lvl/bck/xwinelev05.gif
	frame	data/bgs/59lvl/bck/winelev08.gif
	offset	1 -6
	frame	data/bgs/59lvl/bck/xwinelev08.gif
	frame	data/bgs/59lvl/bck/winelev07.gif
	offset	1 -8
	frame	data/bgs/59lvl/bck/xwinelev07.gif
	frame	data/bgs/59lvl/bck/winelev06.gif
	offset	1 -6
	frame	data/bgs/59lvl/bck/xwinelev06.gif
