name	 missile5
health   0
speed    6
type     enemy
jumpheight 1
gfxshadow  1
nolife     1
hostile				player 
candamage			player npc
lifespan  15
offscreenkill 	5000
subject_to_platform 0
subject_to_wall 0
subject_to_obstacle 0
animationscript data/scripts/escript.c


load	explosion6
load	mseffect



anim	attack1
	loop	0
	delay	3
	offset	50 40
	hitfx	data/sounds/fire.wav
	quakeframe	1 10 7
	@cmd	spawn01 "explosion6" 0 0 1
	attack	-30 -20 150 110 8 1 1 0 10 40
	frame	data/chars/misc/traps/missle/frtmss00.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/frtmss00.gif
		
anim	death
	loop	0
	delay	3
	offset	50 40
	quakeframe	1 10 7
	@cmd	spawn01 "explosion6" 0 0 1
	attack	-30 -20 150 110 8 1 1 0 10 40
	frame	data/chars/misc/traps/missle/frtmss00.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/frtmss00.gif
		
anim	idle
	loop	0
	delay	2
	offset	50 40
	bbox	0 0 0 0
	@cmd	degravity 0.8
	@cmd	spawn01 "mseffect" -15 15 1
	movez	1
	move	1
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss02.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	frame	data/chars/misc/traps/missle/frtmss03.gif
	move	1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss01.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	move	1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	frame	data/chars/misc/traps/missle/frtmss04.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss05.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	frame	data/chars/misc/traps/missle/frtmss06.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	1
	@cmd	spawn01 "mseffect" -15 15 1
