name	 missile2
health   0
speed    2
type     enemy
jumpheight 1
setlayer   250
nolife   1
hostile				player 
candamage			player npc
subject_to_platform 0
subject_to_wall 0
subject_to_obstacle 0




anim	attack1
	loop	0
	delay	4
	offset	121 217
	hitfx	data/sounds/fire.wav
	quakeframe	1 1 1
	move	13
	attack	1 90 250 130 20 1 1 0 10 40
	frame	data/chars/misc/traps/missle/mis03.gif
	sound	data/sounds/xplosion.wav
	frame	data/chars/misc/traps/missle/mis04.gif
	frame	data/chars/misc/traps/missle/mis05.gif
	frame	data/chars/misc/traps/missle/mis06.gif
	frame	data/chars/misc/traps/missle/mis07.gif
	frame	data/chars/misc/traps/missle/mis08.gif
	frame	data/chars/misc/traps/missle/mis09.gif
	frame	data/chars/misc/traps/missle/mis10.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/mis11.gif
	frame	data/chars/misc/traps/missle/mis12.gif
	frame	data/chars/misc/traps/missle/mis13.gif
	frame	data/chars/misc/traps/missle/mis14.gif
	frame	data/chars/misc/traps/missle/mis15.gif
	frame	data/chars/misc/empty.gif
		
anim	death
	loop	0
	delay	4
	offset	121 217
	quakeframe	1 1 1
	move	13
	attack	1 90 250 130 20 1 1 0 10 40
	frame	data/chars/misc/traps/missle/mis03.gif
	sound	data/sounds/xplosion.wav
	frame	data/chars/misc/traps/missle/mis04.gif
	frame	data/chars/misc/traps/missle/mis05.gif
	frame	data/chars/misc/traps/missle/mis06.gif
	frame	data/chars/misc/traps/missle/mis07.gif
	frame	data/chars/misc/traps/missle/mis08.gif
	frame	data/chars/misc/traps/missle/mis09.gif
	frame	data/chars/misc/traps/missle/mis10.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/mis11.gif
	frame	data/chars/misc/traps/missle/mis12.gif
	frame	data/chars/misc/traps/missle/mis13.gif
	frame	data/chars/misc/traps/missle/mis14.gif
	frame	data/chars/misc/traps/missle/mis15.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	4
	offset	135 190
	bbox	0 0 0 0
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
	frame	data/chars/misc/traps/missle/mis01.gif
	frame	data/chars/misc/traps/missle/mis02.gif
		
#|edited by openBor Stats v 0.53
		
