name	 missile3
health   0
speed    2
type     enemy
jumpheight 1
setlayer   250
nolife   1
hostile				player 
candamage			player npc
lifespan  8
subject_to_platform 0
subject_to_wall 0
subject_to_obstacle 0





		
anim	idle
	loop	0
	delay	4
	offset	135 190
	bbox	0 0 0 0
	frame	data/chars/misc/traps/missle/2missle01.gif
	frame	data/chars/misc/traps/missle/2missle02.gif
	frame	data/chars/misc/traps/missle/2missle01.gif
	frame	data/chars/misc/traps/missle/2missle02.gif

	frame	data/chars/misc/traps/missle/2missle03.gif
	frame	data/chars/misc/traps/missle/2missle04.gif
	frame	data/chars/misc/traps/missle/2missle03.gif
	frame	data/chars/misc/traps/missle/2missle04.gif

	frame	data/chars/misc/traps/missle/2missle05.gif
	frame	data/chars/misc/traps/missle/2missle06.gif
	frame	data/chars/misc/traps/missle/2missle05.gif
	frame	data/chars/misc/traps/missle/2missle06.gif

	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif
	frame	data/chars/misc/traps/missle/2missle07.gif
	frame	data/chars/misc/traps/missle/2missle08.gif




anim	attack1
	loop	0
	delay	4
	offset	121 217
	hitfx	data/sounds/fire.wav
	quakeframe	1 1 1
	move	13
	attack	1 90 250 130 20 1 1 0 10 40
	frame	data/chars/misc/traps/missle/mis03.gif
	frame	data/chars/misc/traps/missle/mis04.gif
	frame	data/chars/misc/traps/missle/mis05.gif
	frame	data/chars/misc/traps/missle/mis06.gif
	frame	data/chars/misc/traps/missle/mis07.gif
	frame	data/chars/misc/traps/missle/mis08.gif
	frame	data/chars/misc/traps/missle/mis09.gif
	frame	data/chars/misc/traps/missle/mis10.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/mis11.gif
	frame	data/chars/misc/traps/missle/mis12.gif
	frame	data/chars/misc/traps/missle/mis13.gif
	frame	data/chars/misc/traps/missle/mis14.gif
	frame	data/chars/misc/traps/missle/mis15.gif
	frame	data/chars/misc/empty.gif
		
anim	death
	loop	0
	delay	4
	offset	121 217
	quakeframe	1 1 1
	move	13
	attack	1 90 250 130 20 1 1 0 10 40
	frame	data/chars/misc/traps/missle/mis03.gif
	frame	data/chars/misc/traps/missle/mis04.gif
	frame	data/chars/misc/traps/missle/mis05.gif
	frame	data/chars/misc/traps/missle/mis06.gif
	frame	data/chars/misc/traps/missle/mis07.gif
	frame	data/chars/misc/traps/missle/mis08.gif
	frame	data/chars/misc/traps/missle/mis09.gif
	frame	data/chars/misc/traps/missle/mis10.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/missle/mis11.gif
	frame	data/chars/misc/traps/missle/mis12.gif
	frame	data/chars/misc/traps/missle/mis13.gif
	frame	data/chars/misc/traps/missle/mis14.gif
	frame	data/chars/misc/traps/missle/mis15.gif
	frame	data/chars/misc/empty.gif


		
#|edited by openBor Stats v 0.53
		
