name	 	mrskaratepw
type    	none
shadow  	0
alpha		1
lifespan  	12
offscreenkill 	200
falldie	 	1
nolife          1
subject_to_hole 0
subject_to_gravity 0
subject_to_wall 0
subject_to_platform 0
subject_to_minz    0
subject_to_maxz    0
candamage	enemy obstacle

animationscript data/scripts/escript.c

palette	none








anim	follow1
	loop	0
	delay	4
	offset	7 8
	bbox	0 0 0 0
	frame	data/chars/mrskarate/pw/mk05.png
	offset	3 4
	frame	data/chars/mrskarate/pw/mk06.png
	offset	11 12
	frame	data/chars/mrskarate/pw/mk07.png
	offset	6 6
	frame	data/chars/mrskarate/pw/mk08.png
	offset	11 12
	frame	data/chars/mrskarate/pw/mk07.png
	offset	16 17
	frame	data/chars/mrskarate/pw/mk09.png
	offset	11 12
	frame	data/chars/mrskarate/pw/mk07.png
	offset	6 6
	frame	data/chars/mrskarate/pw/mk08.png
	offset	7 8
	frame	data/chars/mrskarate/pw/mk05.png
	offset	3 4
	frame	data/chars/mrskarate/pw/mk06.png
	frame	data/chars/mrskarate/pw/emp.png
	@cmd	suicide
	frame	data/chars/mrskarate/pw/emp.png
		
anim	idle
		
anim	spawn
	loop	0
	delay	3
	offset	1 1
	bbox	0 0 0 0
	frame	data/chars/mrskarate/pw/emp.png
		
#|edited by openBor Stats v 0.67
		
