name          MrBig3
type          enemy
health        1700
mp		3000	
speed         25
jumpheight    4
jumpmove      0 4
throw         5 2
throwdamage   18
shadow        0
blockodds     1
nopassiveblock 1
escapehits    2
noquake       1
nolife        1
nodieblink    2
falldie       2
gfxshadow     1
thold         80
dust            dust
projectilehit enemy obstacle
subject_to_obstacle 	0
noatflash		1
flash			flashdark
bflash			flashdark
candamage 	player
diesound      data/sounds/big06.wav
animationscript data/scripts/escript.c

icon	data/chars/3Mrbig2/icon.gif
lifebarstatus 300 10 0 1 0 2 5 
lifeposition 115  240
nameposition -200 -200
iconposition 50 227
nolife 1

load	pw1
load	pw12
load	xblk
load	lgblock
load	mbdark
load	remt
load	MrBigg
load	flashdark





anim	attack1
	range	60 110
	rangez	-15 15
	loop	0
	delay	8
	offset	104 190
	bbox	76 93 56 89
	followanim	1
	followcond	1
	fastattack	1
	sound	data/sounds/big04.wav
	hitflash	flashdark
	frame	data/chars/3Mrbig2/a01.gif
	delay	2
	move	6
	attack2	108 107 75 35 8 0 0 0 15 18
	frame	data/chars/3Mrbig2/a02.gif
	frame	data/chars/3Mrbig2/a02.gif
	frame	data/chars/3Mrbig2/a02.gif
	frame	data/chars/3Mrbig2/a02.gif
	attack2	0 0 0 0
	move	0
	delay	10
	frame	data/chars/3Mrbig2/a03.gif
	frame	data/chars/3Mrbig2/a04.gif
		
anim	attack10
	range	220 320
	rangez	-20 20
	loop	0
	delay	11
	offset	40 190
	bbox	28 77 37 95
	frame	data/chars/3Mrbig2/b01.gif
	sound	data/sounds/mbig1.wav
	frame	data/chars/3Mrbig2/b02.gif
	frame	data/chars/3Mrbig2/b03.gif
	delay	2
	frame	data/chars/3Mrbig2/b04.gif
	@cmd	spawnbind "pw12" 1 1 1
	frame	data/chars/3Mrbig2/b05.gif
	frame	data/chars/3Mrbig2/b06.gif
	frame	data/chars/3Mrbig2/b07.gif
	sound	data/sounds/burnt.wav
	frame	data/chars/3Mrbig2/b08.gif
	@cmd	projectile 1 "pw1" 40 -10 80
	frame	data/chars/3Mrbig2/b09.gif
	frame	data/chars/3Mrbig2/b10.gif
	frame	data/chars/3Mrbig2/b11.gif
	frame	data/chars/3Mrbig2/b12.gif
	frame	data/chars/3Mrbig2/b03.gif
	delay	11
	frame	data/chars/3Mrbig2/b13.gif
	frame	data/chars/3Mrbig2/b14.gif
	frame	data/chars/3Mrbig2/b15.gif
	delay	2
	frame	data/chars/3Mrbig2/b16.gif
	@cmd	spawnbind "pw12" 1 1 1
	frame	data/chars/3Mrbig2/b17.gif
	frame	data/chars/3Mrbig2/b18.gif
	sound	data/sounds/burnt.wav
	frame	data/chars/3Mrbig2/b19.gif
	@cmd	projectile 1 "pw1" 40 15 80
	frame	data/chars/3Mrbig2/b20.gif
	frame	data/chars/3Mrbig2/b21.gif
	frame	data/chars/3Mrbig2/b22.gif
	frame	data/chars/3Mrbig2/b23.gif
	frame	data/chars/3Mrbig2/b24.gif
	frame	data/chars/3Mrbig2/b25.gif
	frame	data/chars/3Mrbig2/b15.gif
	delay	14
	frame	data/chars/3Mrbig2/b15.gif
	offset	110 190
	bbox	76 93 56 89
	frame	data/chars/3Mrbig2/a15.gif
	frame	data/chars/3Mrbig2/a14.gif
		
anim	attack4
	range	-20 60
	rangez	-8 8
	loop	0
	delay	8
	offset	104 190
	bbox	76 93 56 89
