name		kagasp
type		enemy
health		100
speedf		0
jumpheight	0
nolife          1
noquake		1
nomove		1 1
#falldie		1
#nodieblink	2
makeinv		3
gfxshadow	1
nodrop		1
antigrab	10
lifespan        45
#diesound        data/sounds/die3.wav
animationscript data/scripts/escript.c


load	templst



#-------moves
anim spawn
	loop    0
	delay   2500
	offset  0 0
	bbox    0 0 0 0
	frame	data/bgs/24lvl/bck/empty.gif
	@cmd	spawn01 "templst" 0 0 1
	frame	data/bgs/24lvl/bck/empty.gif
	frame	data/bgs/24lvl/bck/empty.gif



anim idle
	loop    1
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/bgs/24lvl/bck/empty.gif
	frame	data/bgs/24lvl/bck/empty.gif



