name	atkcar1
type	enemy
gfxshadow  1
nomove	1 1
facing	1
lifespan  25
gfxshadow	1
subject_to_hole 0
subject_to_wall 0
subject_to_platform 0
offscreenkill 1000 
animationscript data/scripts/escript.c


alternatepal       data/chars/misc/car/car1/map1.gif
alternatepal       data/chars/misc/car/car1/map2.gif


load	MrRed
load	mrpink


anim	idle
	loop	0
	delay	15
	offset	180 120
	platform	5 122 60 30 335 305 20 80
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
		
anim	spawn
	loop	0
	delay	20
	offset	180 120
	platform	5 122 60 30 335 305 20 80
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	spawnGun9 "MrRed" 115 85 0 3 180 1 "ANI_FOLLOW15"
	@cmd	spawnGun9 "mrpink" 40 85 0 4 210 2 "ANI_follow15"
	@cmd	spawnGun9 "mrpink" -40 85 0 5 180 3 "ANI_follow15"
	frame	data/chars/misc/car/car1/car01.gif
	delay	5
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	dasher 1.2 0 0
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif #4
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	sound	data/sounds/car2.wav
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	looper 4 7
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	stop
	frame	data/chars/misc/car/car1/car00.gif
	@cmd 	gunout 1
	@cmd 	gunout 2
	@cmd 	gunout 3
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif #26
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	looper 26 13
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	dasher -1.2 0 0
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	looper 34 24
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	suicide
	frame	data/chars/misc/car/car1/car01.gif



anim	follow10
	loop	0
	delay	20
	offset	180 120
	platform	5 122 60 30 335 305 20 80
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	spawnGun9 "MrRed" 115 85 0 4 210 1 "ANI_FOLLOW15"
	@cmd	spawnGun9 "mrpink" 40 85 0 1 180 2 "ANI_FOLLOW15"
	@cmd	spawnGun9 "MrRed" -40 85 0 5 120 3 "ANI_FOLLOW15"
	frame	data/chars/misc/car/car1/car01.gif
	delay	5
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	dasher -1.3 0 0
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif #4
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	sound	data/sounds/car2.wav
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	looper 4 7
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	stop
	frame	data/chars/misc/car/car1/car00.gif
	@cmd 	gunout 1
	@cmd 	gunout 2
	@cmd 	gunout 3
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif #26
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	looper 26 13
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	dasher 1.3 0 0
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
